District Name,GoN Hospital,PHCC,Health Post,PHC/ORC,EPI Clinics,FCHVs,BCG,DPT-Hep B-Hib3rd,OPV-3rd,PCV 3rd,MR 1stDose
National,123,200,3808,12180,16022,49001,91.3,87,85.9,78,84
Province 1,18,41,648,2189,2787,8578,92,87,86,82,84
01 TAPLEJUNG,1,2,50,176,179,896,96,92,91,77,89
02 PANCHTHAR,1,2,40,147,217,394,89,91,90,87,90
03 ILAM,1,4,44,185,187,1057,77,75,74,68,70
04 JHAPA,1,6,44,187,250,586,96,91,91,87,88
05 MORANG,3,6,60,258,360,722,100,91,88,84,85
06 SUNSARI,2,5,47,149,255,1052,100,86,86,80,81
07 DHANKUTA,1,2,35,105,138,315,73,78,80,74,76
08 TERHATHUM,1,2,29,67,119,392,78,79,78,75,82
09 SANKHUWASABHA,1,3,36,98,204,314,91,91,92,79,86
10 BHOJPUR,1,3,60,191,186,530,80,83,83,80,84
11 SOLUKHUMBU,1,2,32,76,93,265,74,77,78,70,81
12 OKHALDHUNGA,1,1,54,168,167,707,87,81,81,78,78
13 KHOTANG,1,2,73,228,230,898,86,88,88,82,90
14 UDAYAPUR,2,1,44,154,202,450,89,88,87,84,83
Province 2,13,32,745,2358,3384,7073,103,99,98,72,91
15 SAPTARI,2,4,111,406,460,1074,87,88,88,82,87
16 SIRAHA,2,4,104,251,432,981,115,106,104,84,96
17 DHANUSA,1,5,98,322,486,882,113,115,114,86,102
18 MAHOTTARI,2,3,72,273,359,635,105,101,100,61,93
19 SARLAHI,1,5,94,226,344,1015,97,89,87,56,79
32 RAUTAHAT,2,3,93,333,422,841,108,98,100,64,90
33 BARA,1,5,94,277,493,932,97,98,98,67,94
34 PARSA,2,3,79,270,388,713,104,93,93,82,91
Province 3,34,43,640,1904,2418,9016,85,76,75,73,76
20 SINDHULI,1,4,51,181,208,494,87,79,79,71,78
21 RAMECHHAP,1,3,52,139,187,752,57,61,61,53,61
22 DOLAKHA,1,2,52,164,161,1238,62,71,71,63,72
23 SINDHUPALCHOK,1,3,75,212,233,693,59,75,72,72,74
24 KAVRE,2,4,89,285,323,956,93,81,80,73,76
25 LALITPUR,3,4,38,75,140,445,108,69,62,64,70
26 BHAKTAPUR,3,2,19,42,59,218,44,81,81,83,84
27 KATHMANDU,14,8,58,134,217,1589,96,71,71,70,72
28 NUWAKOT,1,3,63,174,203,1007,72,84,82,76,84
29 RASUWA,1,1,17,45,57,245,83,101,102,91,97
30 DHADING,1,2,49,190,226,471,62,77,77,73,78
31 MAKWANPUR,1,4,41,159,206,450,85,90,89,88,89
35 CHITAWAN,4,3,36,104,198,458,95,82,82,79,78
Province 4,14,24,492,1358,1748,5767,75,76,76,75,75
36 GORKHA,1,3,66,237,264,624,70,80,80,79,80
37 LAMJUNG,1,2,58,171,194,654,71,76,76,72,74
38 TANAHU,3,2,46,145,210,448,64,70,70,70,69
39 SYANGJA,1,3,65,198,236,594,66,80,80,73,75
40 KASKI,3,4,45,158,203,1037,94,71,71,71,71
41 MANANG,1,,13,10,20,118,28,46,46,46,50
42 MUSTANG,1,1,15,20,26,135,47,71,70,60,69
43 MYAGDI,1,1,39,78,117,370,80,82,82,80,82
44 PARBAT,1,2,52,105,161,500,60,76,75,71,71
45 BAGLUNG,1,3,58,141,168,922,77,79,78,78,78
48.1 NAWALPUR,0,3,35,95,149,365,77,83,83,84,84
Province 5,18,31,570,1874,2668,8718,92,87,87,85,86
46 GULMI,1,4,76,214,306,959,79,84,84,83,82
47 PALPA,2,2,62,180,228,553,80,78,78,77,77
48 NAWALPARASI,1,2,36,101,158,435,77,82,82,78,78
49 RUPANDEHI,2,5,64,215,281,1395,103,88,88,89,89
50 KAPILBASTU,3,2,73,279,362,1040,97,95,94,84,86
51 ARGHAKHANCHI,1,2,39,84,170,845,68,80,80,77,78
52 PYUTHAN,1,2,46,152,239,432,98,95,92,91,98
53 ROLPA,1,2,49,169,209,445,99,97,96,89,95
54 RUKUM,0,1,15,44,54,126,116,97,96,88,93
56 DANG,2,3,36,131,195,871,88,87,86,86,87
57 BANKE,3,3,44,150,271,785,110,94,94,92,92
58 BARDIYA,1,3,30,155,195,832,78,76,74,75,77
Province 6,12,13,336,1060,1323,4102,101,97,96,86,96
54.1 RUKUM WEST,1,1,26,75,100,243,104,91,93,82,90
55 SALYAN,1,2,45,164,223,423,93,90,90,87,92
59 SURKHET,2,3,47,150,185,987,93,88,88,84,86
60 DAILEKH,2,2,56,247,287,788,95,95,95,90,97
61 JAJARKOT,1,2,32,97,126,258,109,98,97,86,97
62 DOLPA,1,,23,52,59,132,104,95,93,87,89
63 JUMLA,1,1,29,86,86,509,104,104,101,74,103
64 KALIKOT,1,1,28,66,107,284,121,116,116,84,113
65 MUGU,1,1,24,73,84,290,136,136,131,115,133
66 HUMLA,1,,26,50,66,188,109,110,99,73,94
Province 7,14,16,377,1437,1694,5747,87,85,85,79,85
67 BAJURA,1,1,26,68,119,261,108,105,104,97,102
68 BAJHANG,1,2,45,119,145,425,99,94,94,85,94
69 ACHHAM,1,2,73,235,239,943,95,97,97,93,99
70 DOTI,2,2,49,217,251,627,100,95,95,81,94
71 KAILALI,3,4,37,183,242,1062,78,76,77,74,77
72 KANCHANPUR,1,3,18,72,138,773,81,79,79,75,76
73 DADELDHURA,2,,24,74,93,456,82,80,80,80,80
74 BAITADI,1,2,65,315,330,831,88,85,85,71,89
75 DARCHAULA,2,,40,154,137,369,87,88,87,74,88
